date,BYR,USD,EUR,KZT,UAH,AZN,KGS,UZS,GEL
2023-03,26.7304,74.8932,79.5134,0.166748,2.03132,44.0548,0.856706,0.006616,28.5069
2023-04,27.0949,77.3233,84.1116,0.172577,2.09349,45.4843,0.884504,0.00676304,30.1997
2023-05,27.5198,80.5093,88.3712,0.176474,2.18067,47.3584,0.919896,0.00706827,32.2153
2023-06,27.7339,80.9942,86.5009,0.181163,2.19394,47.6436,0.924697,0.00710112,31.249
2023-07,29.1515,88.3844,96.0195,0.194624,2.39331,51.9908,1.01357,0.00769355,33.7641
2023-08,30.1846,91.5923,100.9428,0.205511,2.48005,53.8778,1.0443,0.00789577,34.6507
2023-09,29.8332,96.3344,104.9407,0.208769,2.61303,56.6673,1.09156,0.00796813,36.6402
2023-10,29.6535,97.4147,103.1631,0.20398,2.63752,57.3028,1.09813,0.00800116,36.3054
2023-11,29.1027,92.0226,97.9345,0.195017,2.53715,54.1309,1.03027,0.00753097,34.022
2023-12,28.4829,88.5819,96.8827,0.192964,2.43523,52.107,0.993468,0.0072135,32.6521
